algorithm,array_size,time_ns
bubble_sort,1000,512066
insertion_sort,1000,138100
selection_sort,1000,1556666
merge_sort,1000,164733
quick_sort,1000,69666
heap_sort,1000,67133
bubble_sort,5000,13865466
insertion_sort,5000,3284333
selection_sort,5000,38880100
merge_sort,5000,707600
quick_sort,5000,329333
heap_sort,5000,365833
bubble_sort,10000,53502166
insertion_sort,10000,12200500
selection_sort,10000,154058966
merge_sort,10000,932433
quick_sort,10000,619366
heap_sort,10000,771833
bubble_sort,15000,112400566
insertion_sort,15000,24561433
selection_sort,15000,311189233
merge_sort,15000,1181933
quick_sort,15000,936833
heap_sort,15000,1136700
bubble_sort,20000,163243166
insertion_sort,20000,39286133
selection_sort,20000,470059900
merge_sort,20000,1493566
quick_sort,20000,1156033
heap_sort,20000,1394166
bubble_sort,25000,256230766
insertion_sort,25000,50445433
selection_sort,25000,730403000
merge_sort,25000,1758033
quick_sort,25000,1480266
heap_sort,25000,1526366
bubble_sort,30000,385717000
insertion_sort,30000,81178666
selection_sort,30000,1049035933
merge_sort,30000,2377500
quick_sort,30000,1791566
heap_sort,30000,1738240
bubble_sort,35000,569633366
insertion_sort,35000,105979666
selection_sort,35000,1430786200
merge_sort,35000,2575600
quick_sort,35000,2056233
heap_sort,35000,2437800
bubble_sort,40000,853587666
insertion_sort,40000,145732233
selection_sort,40000,1874647500
merge_sort,40000,3387433
quick_sort,40000,2113800
heap_sort,40000,3062833
bubble_sort,45000,1190967600
insertion_sort,45000,170003366
selection_sort,45000,2379280333
merge_sort,45000,3275166
quick_sort,45000,2576733
heap_sort,45000,3440633
bubble_sort,50000,1617361000
insertion_sort,50000,207758600
selection_sort,50000,2942725700
merge_sort,50000,3650466
quick_sort,50000,3447333
heap_sort,50000,3881933
bubble_sort,55000,2123228166
insertion_sort,55000,251041566
selection_sort,55000,3541026766
merge_sort,55000,4482800
quick_sort,55000,3611600
heap_sort,55000,3785733
bubble_sort,60000,2704309766
insertion_sort,60000,303910233
selection_sort,60000,4221149800
merge_sort,60000,4470700
quick_sort,60000,4413000
heap_sort,60000,4717500
bubble_sort,65000,3360060300
insertion_sort,65000,355506166
selection_sort,65000,4991281066
merge_sort,65000,5022766
quick_sort,65000,4091566
heap_sort,65000,5129933
bubble_sort,70000,4193743233
insertion_sort,70000,412400800
selection_sort,70000,5826242633
merge_sort,70000,5719100
quick_sort,70000,4149233
heap_sort,70000,5438766
bubble_sort,75000,4834897600
insertion_sort,75000,476013766
selection_sort,75000,6578965766
merge_sort,75000,6013933
quick_sort,75000,4480933
heap_sort,75000,5666033
bubble_sort,80000,5679556366
insertion_sort,80000,539393233
selection_sort,80000,7536236266
merge_sort,80000,6272666
quick_sort,80000,5209866
heap_sort,80000,6303333
bubble_sort,85000,6624044800
insertion_sort,85000,607001566
selection_sort,85000,8471633966
merge_sort,85000,6594633
quick_sort,85000,5257733
heap_sort,85000,6737400
bubble_sort,90000,7476117900
insertion_sort,90000,672761500
selection_sort,90000,9498347333
merge_sort,90000,7018566
quick_sort,90000,5726633
heap_sort,90000,7440433
bubble_sort,95000,8462196033
insertion_sort,95000,750929966
selection_sort,95000,10589607033
merge_sort,95000,7373233
quick_sort,95000,5970033
heap_sort,95000,8025833
bubble_sort,100000,9533311200
insertion_sort,100000,839061866
selection_sort,100000,11808485100
merge_sort,100000,7958100
quick_sort,100000,6005466
heap_sort,100000,8305433
